iter	Passed	Remaining
0	1	1472
1	2	1208
2	3	1175
3	4	1204
4	6	1196
5	7	1221
6	9	1309
7	10	1305
8	11	1284
9	12	1273
10	14	1259
11	15	1235
12	16	1218
13	17	1205
14	18	1195
15	19	1190
16	20	1180
17	22	1201
18	23	1231
19	25	1239
20	26	1231
21	27	1225
22	28	1215
23	29	1203
24	30	1194
25	31	1191
26	32	1184
27	33	1177
28	35	1173
29	35	1159
30	36	1155
31	38	1167
32	39	1170
33	41	1168
34	42	1161
35	43	1154
36	44	1149
37	45	1139
38	45	1130
39	46	1125
40	47	1120
41	48	1117
42	50	1113
43	51	1113
44	52	1117
45	53	1114
46	54	1112
47	55	1108
48	56	1104
49	57	1101
50	58	1096
51	60	1095
52	61	1091
53	62	1087
54	63	1085
55	64	1081
56	65	1079
57	66	1080
58	67	1084
59	69	1086
60	70	1085
61	71	1082
62	72	1078
63	73	1077
64	74	1074
65	75	1072
66	76	1070
67	77	1067
68	78	1060
69	79	1058
70	80	1057
71	82	1058
72	83	1057
73	84	1057
74	85	1049
75	86	1047
76	87	1043
77	88	1041
78	89	1041
79	90	1038
80	91	1037
81	92	1035
82	93	1032
83	94	1029
84	95	1028
85	96	1028
86	97	1027
87	98	1024
88	99	1022
89	100	1020
90	101	1018
91	103	1016
92	103	1014
93	105	1012
94	106	1011
95	107	1009
96	108	1008
97	109	1009
98	111	1010
99	112	1010
100	113	1011
101	114	1009
102	115	1006
103	116	1004
104	117	1003
105	118	999
106	119	997
107	120	995
108	121	993
109	122	989
110	123	988
111	124	987
112	125	988
113	127	987
114	128	986
115	129	984
116	130	984
117	131	982
118	132	980
119	133	979
120	134	975
121	135	974
122	136	974
123	137	972
124	138	971
125	139	970
126	141	972
127	142	971
128	143	971
129	144	969
130	145	967
131	146	965
132	147	963
133	149	963
134	150	962
135	151	960
136	152	960
137	153	958
138	155	961
139	156	960
140	157	959
141	158	957
142	159	955
143	160	953
144	161	953
145	162	951
146	163	950
147	164	948
148	166	948
149	167	946
150	168	947
151	169	947
152	170	946
153	172	946
154	173	943
155	173	940
156	174	939
157	176	938
158	177	936
159	178	935
160	179	933
161	180	933
162	181	931
163	182	930
164	183	930
165	184	929
166	186	927
167	187	927
168	188	925
169	189	923
170	190	922
171	191	920
172	192	919
173	193	919
174	194	917
175	195	916
176	196	914
177	197	914
178	199	916
179	201	915
180	201	913
181	202	912
182	204	911
183	205	910
